"pop2022","pop2021","pop2020","pop2010","growth","usps","geoid","ansicode","name","lsad","funcstat","aland","awater","aland_sqmi","awater_sqmi","intptlat","intptlong","slug","metroId","rank","density"
480419,474042,467665,403892,"0.01345","NC",3755000,2404590,"Raleigh","2",0,377844000,2830540,145.886,1.093,35.8302,-78.6415,"raleigh-nc",39580,41,3293
467638,467190,466742,462257,"0.00096","CA",643000,2410866,"Long Beach","2",0,131302000,75937500,50.696,29.32,33.7781,-118.167,"long-beach-ca",31080,42,9224
463766,461618,459470,437994,"0.00465","VA",5182000,1498559,"Virginia Beach","2",0,633829000,654687000,244.723,252.776,36.78,-76.0252,"virginia-beach-va",47260,43,1895
450797,446519,442241,399457,"0.00958","FL",1245000,2404247,"Miami","2",0,93230500,51999600,35.996,20.077,25.7752,-80.2086,"miami-fl",33100,44,12524
450630,445638,440646,390724,"0.01120","CA",653000,2411292,"Oakland","2",0,144763000,56965800,55.893,21.995,37.7698,-122.226,"oakland-ca",41860,45,8062
439430,434692,429954,382578,"0.01090","MN",2743000,2395345,"Minneapolis","2",0,139858000,9027530,54,3.486,44.9633,-93.2683,"minneapolis-mn",33460,46,8138
417298,415182,413066,391906,"0.00510","OK",4075000,2412110,"Tulsa","2",0,511465000,11126700,197.478,4.296,36.1279,-95.9023,"tulsa-ok",46140,47,2113
414649,409052,403455,347483,"0.01368","CA",603526,2409774,"Bakersfield","2",0,387871000,3792000,149.758,1.464,35.3536,-119.037,"bakersfield-ca",12540,48,2769
400564,399048,397532,382368,"0.00380","KS",2079000,485662,"Wichita","2",0,418704000,11667800,161.662,4.505,37.6906,-97.3458,"wichita-ks",48620,49,2478
400032,397149,394266,365438,"0.00726","TX",4804000,2409731,"Arlington","2",0,248067000,9470270,95.779,3.656,32.7007,-97.1247,"arlington-tx",19100,50,4177
398497,392379,386261,325078,"0.01559","CO",804000,2409757,"Aurora","2",0,399562000,1650190,154.272,0.637,39.688,-104.69,"aurora-co",19740,51,2583
394809,389884,384959,335709,"0.01263","FL",1271000,2405568,"Tampa","2",0,295302000,160099000,114.017,61.815,27.9679,-82.4746,"tampa-fl",45300,52,3463
392031,388014,383997,343829,"0.01035","LA",2255000,545142,"New Orleans","2",0,438831000,467268000,169.434,180.413,30.0534,-89.9345,"new-orleans-la",35380,53,2314
367786,370205,372624,396815,"-0.00653","OH",3916000,1085963,"Cleveland","2",0,201227000,12336400,77.694,4.763,41.4785,-81.6794,"cleveland-oh",17460,54,4734
353706,352335,350964,337256,"0.00389","HI",1571550,2630783,"Honolulu","5",0,156807000,20487500,60.544,7.91,21.3243,-157.848,"honolulu-hi",,55,5842
348936,347880,346824,336265,"0.00304","CA",602000,2409704,"Anaheim","2",0,130329000,1567020,50.32,0.605,33.8236,-118.016,"anaheim-ca",31080,56,6934
329586,323598,317610,257729,"0.01850","NV",3231900,2410741,"Henderson","2",0,274750000,1272340,106.082,0.491,36.0102,-115.036,"henderson-nv",29820,57,3107
327924,325247,322570,295803,"0.00823","KY",2146027,2405089,"Lexington","U",0,734616000,4922120,283.637,1.9,38.0407,-84.4583,"lexington-ky",30460,58,1156
326730,317200,307670,212375,"0.03004","CA",636770,2410116,"Irvine","2",0,169953000,808586,65.619,0.312,33.6784,-117.771,"irvine-ca",,59,4979
326624,323714,320804,291707,"0.00899","CA",675000,2411987,"Stockton","2",0,161026000,7985700,62.172,3.083,37.9763,-121.313,"stockton-ca",44700,60,5254
321427,314500,307573,238300,"0.02203","FL",1253000,2404443,"Orlando","2",0,286346000,21332100,110.559,8.236,28.4246,-81.227,"orlando-fl",36740,61,2907
320393,319128,317863,305215,"0.00396","TX",4817000,2410234,"Corpus Christi","2",0,413630000,852166000,159.703,329.023,27.7543,-97.1734,"corpus-christi-tx",18580,62,2006
318431,314990,311549,277140,"0.01092","NJ",3451000,885317,"Newark","2",0,62531400,4509800,24.144,1.741,40.7242,-74.1726,"newark-nj",35620,63,13189
317224,316111,314998,303871,"0.00352","CA",662000,2410965,"Riverside","2",0,210458000,801713,81.258,0.31,33.9381,-117.393,"riverside-ca",40140,64,3904
316819,314173,311527,285068,"0.00842","MN",2758000,2396511,"St. Paul","2",0,134622000,10925900,51.978,4.219,44.9489,-93.1041,"st-paul-mn",33460,65,6095
311791,310554,309317,296943,"0.00398","OH",3915000,1086201,"Cincinnati","2",0,201594000,4472880,77.836,1.727,39.1402,-84.5058,"cincinnati-oh",17140,66,4006
311038,316946,322854,381931,"-0.01864","PR",7276770,2414943,"San Juan","6",0,102391000,17802900,39.533,6.874,18.4064,-66.064,"san-juan-pr",41980,67,7868
307367,308797,310227,324528,"-0.00463","CA",669000,2411814,"Santa Ana","2",0,70864700,79932,27.361,0.031,33.7363,-117.883,"santa-ana-ca",,68,11234
304909,301972,299035,269666,"0.00973","NC",3728000,2403745,"Greensboro","2",0,334284000,13555700,129.068,5.234,36.0951,-79.827,"greensboro-nc",24660,69,2362
302425,302698,302971,305704,"-0.00090","PA",4261000,1214818,"Pittsburgh","2",0,143424000,7688210,55.376,2.968,40.4398,-79.9763,"pittsburgh-pa",38300,70,5461
301419,296934,292449,247597,"0.01510","NJ",3436000,885264,"Jersey City","2",0,38185600,16550000,14.744,6.39,40.7114,-74.0648,"jersey-city-nj",35620,71,20444
298034,299806,301578,319294,"-0.00591","MO",2965000,767557,"St. Louis","2",0,159915000,11006000,61.744,4.249,38.6357,-90.2446,"st-louis-mo",41180,72,4827
297622,294352,291082,258379,"0.01111","NE",3128000,2395713,"Lincoln","2",0,249217000,3524100,96.223,1.361,40.809,-96.6789,"lincoln-ne",30700,73,3093
294542,289024,283506,228330,"0.01909","NC",3719000,2403521,"Durham","2",0,290650000,2164130,112.221,0.836,35.9811,-78.9029,"durham-nc",20500,74,2625
291131,291189,291247,291826,"-0.00020","AK",203000,2419025,"Anchorage","3",0,4420590000,614472000,1706.8,237.249,61.1743,-149.284,"anchorage-ak",11260,75,171
290624,288059,285494,259841,"0.00890","TX",4858016,2411437,"Plano","2",0,185656000,904814,71.682,0.349,33.0508,-96.7479,"plano-tx",,76,4054
283959,279973,275987,236123,"0.01424","AZ",412000,2409433,"Chandler","2",0,168669000,182929,65.124,0.071,33.2828,-111.852,"chandler-az",,77,4360
281801,278644,275487,243916,"0.01133","CA",613392,2409461,"Chula Vista","2",0,128569000,6360330,49.641,2.456,32.6277,-117.015,"chula-vista-ca",,78,5677
281757,280053,278349,261310,"0.00608","NY",3611000,978764,"Buffalo","2",0,104578000,31344700,40.378,12.102,42.8925,-78.8597,"buffalo-ny",15380,79,6978
279810,273864,267918,208453,"0.02171","AZ",427400,2412682,"Gilbert","4",0,177348000,527034,68.475,0.203,33.3102,-111.743,"gilbert-az",,80,4086
277166,273503,269840,233209,"0.01339","WI",5548000,1583625,"Madison","2",0,205486000,56879000,79.339,21.961,43.0878,-89.4299,"madison-wi",31540,81,3493
271953,268059,264165,225221,"0.01453","NV",3260600,2410923,"Reno","2",0,281646000,7338580,108.744,2.833,39.5491,-119.85,"reno-nv",39900,82,2501
271641,267084,262527,216961,"0.01706","NV",3251800,2411273,"North Las Vegas","2",0,253859000,112001,98.015,0.043,36.2857,-115.094,"north-las-vegas-nv",,83,2771
267603,269237,270871,287208,"-0.00607","OH",3977000,1086537,"Toledo","2",0,208465000,8657580,80.489,3.343,41.6641,-83.5819,"toledo-oh",45780,84,3325
265926,264906,263886,253691,"0.00385","IN",1825000,2394798,"Fort Wayne","2",0,286546000,562505,110.636,0.217,41.0882,-85.1439,"fort-wayne-in",23060,85,2404
264762,260723,256684,216290,"0.01549","TX",4837000,2410117,"Irving","2",0,173684000,2569520,67.06,0.992,32.8577,-96.97,"irving-tx",,86,3948
262655,259898,257141,229573,"0.01061","TX",4845000,2410892,"Lubbock","2",0,348931000,3227290,134.723,1.246,33.5668,-101.888,"lubbock-tx",31180,87,1950
261016,259662,258308,244769,"0.00521","FL",1263000,2405401,"St. Petersburg","2",0,160228000,197264000,61.864,76.164,27.7609,-82.6434,"st-petersburg-fl",45300,88,4219
259027,257116,255205,236091,"0.00743","TX",4841464,2411626,"Laredo","2",0,273873000,3805100,105.743,1.469,27.5604,-99.4892,"laredo-tx",29700,89,2450
254864,252143,249422,222209,"0.01079","VA",5116000,1498558,"Chesapeake","2",0,876738000,32210000,338.51,12.436,36.6794,-76.3018,"chesapeake-va",,90,753
253531,251538,249545,229617,"0.00792","NC",3775000,2405771,"Winston-Salem","2",0,343469000,3117860,132.614,1.204,36.1027,-80.261,"winston--salem-nc",49180,91,1912
252645,250485,248325,226721,"0.00862","AZ",427820,2410596,"Glendale","2",0,159523000,1036610,61.592,0.4,33.5344,-112.414,"glendale-az",,92,4102
249846,247932,246018,226876,"0.00772","TX",4829000,2410572,"Garland","2",0,147783000,313575,57.06,0.121,32.9098,-96.6303,"garland-tx",,93,4379
246157,243759,241361,217385,"0.00984","AZ",465000,2411845,"Scottsdale","2",0,476525000,1188550,183.987,0.459,33.6843,-111.861,"scottsdale-az",38060,94,1338
244847,241745,238643,207627,"0.01283","VA",5103000,2389148,"Arlington","5",0,67333000,273562,25.997,0.106,38.8783,-77.1007,"arlington-va",47900,95,9418
244501,233166,221831,108481,"0.04861","NV",3223770,2408084,"Enterprise","5",0,132424000,0,51.129,0,36.0163,-115.221,"enterprise-nv",,96,4782
241686,238685,235684,205671,"0.01257","ID",1608830,2409876,"Boise","2",0,216714000,2489870,83.674,0.961,43.6021,-116.231,"boise-id",14260,97,2888
239143,233908,228673,176320,"0.02238","CA",669088,2411819,"Santa Clarita","2",0,183254000,162849,70.755,0.063,34.4141,-118.495,"santa-clarita-ca",,98,3380
237045,237525,238005,242803,"-0.00202","VA",5157000,1498557,"Norfolk","2",0,137981000,111702000,53.275,43.128,36.923,-76.2446,"norfolk-va",47260,99,4449
233788,232146,230504,214089,"0.00707","CA",626000,2410545,"Fremont","2",0,200633000,26291600,77.465,10.151,37.501,-122.084,"fremont-ca",,100,3018
233003,230996,228989,208916,"0.00869","WA",5367000,2411956,"Spokane","2",0,178086000,1907180,68.759,0.736,47.6669,-117.433,"spokane-wa",44060,101,3389
231090,228850,226610,204214,"0.00979","VA",5167000,1789073,"Richmond","2",0,155200000,6854940,59.923,2.647,37.5314,-77.476,"richmond-va",40060,102,3856
227066,227268,227470,229493,"-0.00089","LA",2205000,2403821,"Baton Rouge","2",0,223903000,5708640,86.449,2.204,30.4422,-91.1309,"baton-rouge-la",12940,103,2627
224537,223319,222101,209924,"0.00545","CA",665000,2411777,"San Bernardino","2",0,160860000,875506,62.108,0.338,34.1411,-117.295,"san-bernardino-ca",40140,104,3615
223536,221441,219346,198397,"0.00946","WA",5370000,2412025,"Tacoma","2",0,128876000,32804900,49.759,12.666,47.2522,-122.46,"tacoma-wa",42660,105,4492
223037,219317,215597,178395,"0.01696","NV",3268585,2408797,"Spring Valley","5",0,86125900,0,33.253,0,36.0987,-115.262,"spring-valley-nv",,106,6707
222797,222953,223109,224669,"-0.00070","FL",1230000,2404689,"Hialeah","2",0,55895700,3198200,21.581,1.235,25.8699,-80.3029,"hialeah-fl",,107,10324
221986,218496,215006,180105,"0.01597","AL",137000,2404746,"Huntsville","2",0,555197000,3528660,214.363,1.362,34.7013,-86.6729,"huntsville-al",26620,108,1036
221924,220194,218464,201165,"0.00786","CA",648354,2411130,"Modesto","2",0,111309000,4740720,42.977,1.83,37.6375,-121.003,"modesto-ca",33700,109,5164
217213,208861,200509,116989,"0.03999","TX",4827684,2410549,"Frisco","2",0,176443000,1431230,68.125,0.553,33.1554,-96.8226,"frisco-tx",,110,3188
216273,215203,214133,203433,"0.00497","IA",1921000,2394522,"Des Moines","2",0,228385000,6420720,88.18,2.479,41.5726,-93.6102,"des-moines-ia",19780,111,2453
214687,213128,211569,195976,"0.00731","NY",3684000,979660,"Yonkers","2",0,46651500,5916220,18.012,2.284,40.9459,-73.8674,"yonkers-ny",,112,11919
212901,208876,204851,164603,"0.01927","FL",1258715,2404558,"Port St. Lucie","2",0,308733000,4194420,119.202,1.619,27.2806,-80.3883,"port-st-lucie-fl",38940,113,1786
211688,210161,208634,193365,"0.00727","CA",649270,2411159,"Moreno Valley","2",0,132755000,549563,51.257,0.212,33.9233,-117.206,"moreno-valley-ca",,114,4130
211612,209065,206518,181045,"0.01218","MA",2582000,619493,"Worcester","2",0,96762100,2811330,37.36,1.085,42.2695,-71.8078,"worcester-ma",,115,5664
211480,211404,211328,210565,"0.00036","NY",3663000,979426,"Rochester","2",0,92634700,3640300,35.766,1.406,43.1699,-77.6169,"rochester-ny",40380,116,5913
210857,209625,208393,196069,"0.00588","CA",624680,2410517,"Fontana","2",0,111555000,0,43.072,0,34.109,-117.463,"fontana-ca",,117,4895
210330,208626,206922,189885,"0.00817","GA",1319000,2404111,"Columbus","2",0,560679000,11737100,216.479,4.532,32.5102,-84.8749,"columbus-ga",17980,118,972
210089,209295,208501,200564,"0.00379","NC",3722920,2403604,"Fayetteville","2",0,382923000,4738400,147.847,1.83,35.0828,-78.9735,"fayetteville-nc",22180,119,1421
208868,207243,205618,189372,"0.00784","NV",3271400,2410035,"Sunrise Manor","5",0,86444700,0,33.376,0,36.1785,-115.049,"sunrise-manor-nv",,120,6258
208146,201727,195308,131117,"0.03182","TX",4845744,2411064,"McKinney","2",0,173373000,1916550,66.94,0.74,33.2011,-96.6642,"mckinney-tx",,121,3109
204405,203498,202591,193524,"0.00446","AR",541000,2404939,"Little Rock","2",0,310777000,7665230,119.992,2.96,34.724,-92.3576,"little-rock-ar",30780,122,1703
203329,202705,202081,195844,"0.00308","GA",1304204,2405078,"Augusta","0",0,782887000,10820500,302.274,4.178,33.3655,-82.0734,"augusta-ga",12260,123,673
202895,202479,202063,197899,"0.00205","CA",654652,2411347,"Oxnard","2",0,68706200,32114700,26.528,12.4,34.1994,-119.208,"oxnard-ca",37100,124,7648
202379,201051,199723,186440,"0.00661","UT",4967000,2411771,"Salt Lake City","2",0,286707000,1216720,110.698,0.47,40.7785,-111.93,"salt-lake-city-ut",41620,125,1828
202333,201363,200393,190695,"0.00482","TX",4803000,2409694,"Amarillo","2",0,263516000,4049640,101.744,1.564,35.1989,-101.832,"amarillo-tx",11100,126,1989
202012,199625,197238,173372,"0.01196","KS",2053775,485639,"Overland Park","2",0,194716000,1194800,75.18,0.461,38.889,-94.6906,"overland-park-ks",,127,2687
201958,197987,194016,154305,"0.02006","FL",1210275,2403990,"Cape Coral","2",0,274405000,34816600,105.948,13.443,26.6432,-81.9974,"cape-coral-fl",15980,128,1906
201093,200005,198917,188040,"0.00544","MI",2634000,1626373,"Grand Rapids","2",0,115919000,2268060,44.756,0.876,42.9612,-85.6556,"grand-rapids-mi",24340,129,4493
200455,199583,198711,189992,"0.00437","CA",636000,2410811,"Huntington Beach","2",0,69936400,3455840,27.003,1.334,33.698,-118.004,"huntington-beach-ca",,130,7423
200243,196380,192517,153888,"0.01967","SD",4659020,1267566,"Sioux Falls","2",0,202612000,1363810,78.229,0.527,43.5395,-96.732,"sioux-falls-sd",43620,131,2560
200240,198170,196100,175396,"0.01045","TX",4830464,2410632,"Grand Prairie","2",0,187139000,23043300,72.255,8.897,32.6861,-97.0208,"grand-prairie-tx",,132,2771
199571,200087,200603,205764,"-0.00258","AL",151000,2404289,"Montgomery","2",0,414093000,5965790,159.882,2.303,32.3472,-86.2661,"montgomery-al",33860,133,1248
199127,197648,196169,181376,"0.00748","FL",1270600,2405563,"Tallahassee","2",0,260226000,8345630,100.474,3.222,30.4551,-84.2534,"tallahassee-fl",45220,134,1982
198433,199583,200733,212237,"-0.00576","AL",107000,2403868,"Birmingham","2",0,378334000,6593180,146.076,2.546,33.5274,-86.799,"birmingham-al",13820,135,1358
198369,194677,190985,154065,"0.01896","AZ",454050,2411401,"Peoria","2",0,455811000,8208020,175.989,3.169,33.7865,-112.308,"peoria-az",,136,1127
197507,197025,196543,191719,"0.00245","CA",630000,2410597,"Glendale","2",0,78919000,330545,30.471,0.128,34.1814,-118.246,"glendale-ca",,137,6482
196739,193827,190915,161791,"0.01502","WA",5374060,2412146,"Vancouver","2",0,126246000,9593980,48.744,3.704,45.6372,-122.597,"vancouver-wa",38900,138,4036
193512,192223,190934,178042,"0.00671","RI",4459000,1220076,"Providence","2",0,47670300,5654660,18.406,2.183,41.8231,-71.4188,"providence-ri",39300,139,10514
193114,191927,190740,178874,"0.00618","TN",4740000,2404842,"Knoxville","2",0,255664000,14322100,98.713,5.53,35.9707,-83.9493,"knoxville-tn",28940,140,1956
189082,187910,186738,175023,"0.00624","TX",4810768,2409924,"Brownsville","2",0,342712000,35635800,132.322,13.759,25.9957,-97.4509,"brownsville-tx",15180,141,1429
188741,189605,190469,199110,"-0.00456","OH",3901000,1086993,"Akron","2",0,160405000,884027,61.933,0.341,41.0805,-81.5214,"akron-oh",10420,142,3048
187353,186800,186247,180719,"0.00296","VA",5156000,1498555,"Newport News","2",0,178689000,131135000,68.992,50.632,37.0761,-76.522,"newport-news-va",47260,143,2716
186208,184484,182760,165521,"0.00934","FL",1224000,2403640,"Fort Lauderdale","2",0,89577600,4435590,34.586,1.713,26.1412,-80.1467,"fort-lauderdale-fl",33100,144,5384
185427,186234,187041,195111,"-0.00433","AL",150000,2404278,"Mobile","2",0,361212000,105131000,139.465,40.591,30.6684,-88.1002,"mobile-al",33660,145,1330
185249,186421,187593,199311,"-0.00629","LA",2270000,2405463,"Shreveport","2",0,278064000,39380900,107.361,15.205,32.4669,-93.7922,"shreveport-la",43340,146,1725
184852,188045,191238,223167,"-0.01698","NV",3254600,2409023,"Paradise","5",0,121035000,0,46.732,0,36.0807,-115.137,"paradise-nv",29820,147,3956
184361,182474,180587,161719,"0.01034","AZ",473000,2412045,"Tempe","2",0,103541000,643414,39.977,0.248,33.3884,-111.932,"tempe-az",,148,4612
183783,182441,181099,167674,"0.00736","TN",4714000,2404035,"Chattanooga","2",0,370273000,19989100,142.963,7.718,35.066,-85.2484,"chattanooga-tn",16860,149,1286
182619,178670,174721,135234,"0.02210","NC",3710740,2406229,"Cary","4",0,152098000,2807500,58.725,1.084,35.7814,-78.819,"cary-nc",,150,3110
180748,178701,176654,156185,"0.01145","OR",4123850,2410460,"Eugene","2",0,114316000,178992,44.138,0.069,44.0551,-123.117,"eugene-or",21660,151,4095
180746,178435,176124,153015,"0.01295","CA",622020,2410425,"Elk Grove","2",0,108864000,429692,42.033,0.166,38.4146,-121.385,"elk-grove-ca",,152,4300
180189,179158,178127,167815,"0.00575","CA",670098,2411827,"Santa Rosa","2",0,110124000,451570,42.519,0.174,38.4458,-122.706,"santa-rosa-ca",42220,153,4238
179715,177625,175535,154637,"0.01177","OR",4164900,2411764,"Salem","2",0,126110000,1418530,48.691,0.548,44.9239,-123.023,"salem-or",41420,154,3691
177533,176399,175265,163924,"0.00643","CA",653896,2411323,"Ontario","2",0,129403000,75071,49.963,0.029,34.0376,-117.604,"ontario-ca",40140,155,3553
177070,178806,180542,197899,"-0.00971","IL",1703012,2394031,"Aurora","2",0,116572000,2420400,45.009,0.935,41.7635,-88.2901,"aurora-il",,156,3934
176892,175204,173516,156633,"0.00963","CA",640130,2411620,"Lancaster","2",0,244187000,681671,94.281,0.263,34.6936,-118.175,"lancaster-ca",,157,1876
176289,175371,174453,165269,"0.00523","CA",659451,2411514,"Rancho Cucamonga","2",0,103902000,24723,40.117,0.01,34.1233,-117.564,"rancho-cucamonga-ca",,158,4394
175464,174766,174068,167086,"0.00399","CA",653322,2411301,"Oceanside","2",0,106851000,2334140,41.256,0.901,33.2246,-117.306,"oceanside-ca",,159,4253
174974,172392,169810,143986,"0.01498","CO",827425,2410526,"Fort Collins","2",0,148102000,3282220,57.182,1.267,40.5482,-105.065,"fort-collins-co",22660,160,3060
174464,172821,171178,154750,"0.00951","FL",1255775,2404502,"Pembroke Pines","2",0,84623300,5412080,32.673,2.09,26.0147,-80.3402,"pembroke-pines-fl",,161,5340
173480,170101,166722,132929,"0.01986","TN",4715160,2404061,"Clarksville","2",0,255882000,1764730,98.796,0.681,36.5664,-87.3452,"clarksville-tn",17300,162,1756
172790,171120,169450,152750,"0.00976","CA",655156,2411359,"Palmdale","2",0,274736000,633934,106.076,0.245,34.591,-118.105,"palmdale-ca",,163,1629
172163,172056,171949,170883,"0.00062","CA",629000,2410568,"Garden Grove","2",0,46509200,45894,17.957,0.018,33.7788,-117.96,"garden-grove-ca",,164,9588
171112,170144,169176,159498,"0.00569","MO",2970000,2395942,"Springfield","2",0,213394000,1519590,82.392,0.587,37.1942,-93.2913,"springfield-mo",44180,165,2077
166708,164831,162954,144186,"0.01139","CA",633000,2410724,"Hayward","2",0,117941000,47363900,45.537,18.287,37.6287,-122.102,"hayward-ca",41860,166,3661
166162,164852,163542,150441,"0.00795","CA",664224,2411768,"Salinas","2",0,60679300,83122,23.428,0.032,36.6902,-121.634,"salinas-ca",41500,167,7092
163367,161417,159467,139966,"0.01208","VA",5101000,1498415,"Alexandria","2",0,38679400,1070220,14.934,0.413,38.8193,-77.0837,"alexandria-va",47900,168,10939
162438,161085,159732,146199,"0.00840","NJ",3457000,885343,"Paterson","2",0,21790100,762699,8.413,0.294,40.9148,-74.1628,"paterson-nj",,169,19308
